Factors 1,Factor 2,Factor 3,Factor 4
Compliment (Fragrance),Compliment (Soft),,Compliment (wrinkle-free)
No comment,,,
Size of Packaging (to increase bottle size or refill pack),,,
No comment,,,
"Design of Packaging  (volume of the packaging, bottle Design and quality, volume of refill pack and volume, bottle cap packaging design like Daia, more attractive, easier to hold...)",,,
"Price Modification (to maintain or reduction, affordable for publics,based on the size of bottles, unify the price in different places , be competitive with other brands )",,,
Size of Packaging (to increase bottle size or refill pack),"Price Modification (to maintain or reduction, affordable for publics,based on the size of bottles, unify the price in different places , be competitive with other brands )",,
Overall okay,,,
Compliment (Fragrance),,,
Compliment (Fragrance),,,
"Ingredient (2 in 1, more foam, free from mixtures, higher concentration, modify the ingredient for convenient-washing, wrinkles-free)",,,
"Design of Packaging  (volume of the packaging, bottle Design and quality, volume of refill pack and volume, bottle cap packaging design like Daia, more attractive, easier to hold...)","Price Modification (to maintain or reduction, affordable for publics,based on the size of bottles, unify the price in different places , be competitive with other brands )",,
Size of Packaging (to increase bottle size or refill pack),"Price Modification (to maintain or reduction, affordable for publics,based on the size of bottles, unify the price in different places , be competitive with other brands )",,
"Price Modification (to maintain or reduction, affordable for publics,based on the size of bottles, unify the price in different places , be competitive with other brands )",,,
No comment,,,
Size of Packaging (to increase bottle size or refill pack),,,
"Price Modification (to maintain or reduction, affordable for publics,based on the size of bottles, unify the price in different places , be competitive with other brands )",,,
Compliment (Fragrance),,,
No comment,,,
Overall okay,,,
"Price Modification (to maintain or reduction, affordable for publics,based on the size of bottles, unify the price in different places , be competitive with other brands )",,,
"Price Modification (to maintain or reduction, affordable for publics,based on the size of bottles, unify the price in different places , be competitive with other brands )",Increase Awareness Campaign (more contest or advertising),,"Design of Packaging  (volume of the packaging, bottle Design and quality, volume of refill pack and volume, bottle cap packaging design like Daia, more attractive, easier to hold...)"
"Fragrance (makes it last longer, increasing the strength or types of fragrance)","Ingredient (2 in 1, more foam, free from mixtures, higher concentration, modify the ingredient for convenient-washing, wrinkles-free)",,
No comment,,,
